Target,Model,Country_Group,Strategy,LOCO_Avg_RMSE,Single_Avg_RMSE,Better_Method,Improvement_Pct
Co2,Bi-LSTM,Developed,Non-Recursive,87.6678,97.0214,LOCO,9.6408
Co2,Bi-LSTM,Developing,Non-Recursive,253.5418,219.4070,Single Country,15.5577
Co2,CNN,Developed,Non-Recursive,86.6680,78.5796,Single Country,10.2932
Co2,CNN,Developing,Non-Recursive,384.6000,142.0570,Single Country,170.7365
Co2,ED-LSTM,Developed,Non-Recursive,70.6753,84.5938,LOCO,16.4534
Co2,ED-LSTM,Developing,Non-Recursive,238.3485,136.1791,Single Country,75.0258
Co2,LSTM,Developed,Non-Recursive,72.1432,86.9244,LOCO,17.0046
Co2,LSTM,Developing,Non-Recursive,236.4546,162.4738,Single Country,45.5340
Gdp,Bi-LSTM,Developed,Non-Recursive,297170194803.1837,293750886355.7975,Single Country,1.1640
Gdp,Bi-LSTM,Developing,Non-Recursive,761748868310.4152,412466492067.9069,Single Country,84.6814
Gdp,CNN,Developed,Non-Recursive,199147378029.3712,215378757726.6673,LOCO,7.5362
Gdp,CNN,Developing,Non-Recursive,1401545753183.0090,286359036776.7272,Single Country,389.4365
Gdp,ED-LSTM,Developed,Non-Recursive,166087917689.7992,231293168239.1852,LOCO,28.1916
Gdp,ED-LSTM,Developing,Non-Recursive,562519745710.6738,301475765162.3174,Single Country,86.5887
Gdp,LSTM,Developed,Non-Recursive,265932319570.1812,211667253611.4115,Single Country,25.6370
Gdp,LSTM,Developing,Non-Recursive,1731149012742.6982,374807817948.5321,Single Country,361.8764
Primary Energy Consumption,Bi-LSTM,Developed,Non-Recursive,487.0660,269.3355,Single Country,80.8399
Primary Energy Consumption,Bi-LSTM,Developing,Non-Recursive,907.4236,599.0482,Single Country,51.4776
Primary Energy Consumption,CNN,Developed,Non-Recursive,347.4765,234.3048,Single Country,48.3011
Primary Energy Consumption,CNN,Developing,Non-Recursive,1348.9855,398.9282,Single Country,238.1525
Primary Energy Consumption,ED-LSTM,Developed,Non-Recursive,343.2420,239.1696,Single Country,43.5141
Primary Energy Consumption,ED-LSTM,Developing,Non-Recursive,927.4464,511.4579,Single Country,81.3338
Primary Energy Consumption,LSTM,Developed,Non-Recursive,297.7189,233.9823,Single Country,27.2400
Primary Energy Consumption,LSTM,Developing,Non-Recursive,892.3530,445.6292,Single Country,100.2456
