iteration,time_step,prediction,actual,error,rmse,mase,adjusted_prediction,adjusted_error,rmse_adjusted
0,5,5368.2812,5364.279,4.002249999999549,16.727861787110566,0.11504477754345127,5366.280031501344,2.0010315013432773,8.363988707629636
0,6,5450.471,5425.259,25.212191406249985,16.727861787110566,0.11504477754345127,5437.865218078602,12.606218078602069,8.363988707629636
0,7,5599.2793,5612.983,-13.703703125000175,16.727861787110566,0.11504477754345127,5606.131134561346,-6.851865438654386,8.363988707629636
1,8,5653.494,5688.142,-34.647859374999825,20.212389749467402,0.23511354001116866,5670.817949365108,-17.324050634892046,10.10626175148987
1,9,5738.1094,5733.281,4.828375000000051,20.212389749467402,0.23511354001116866,5735.6951926290285,2.4141926290285483,10.10626175148987
1,10,5802.5635,5803.918,-1.3545234374996653,20.212389749467402,0.23511354001116866,5803.24085650079,-0.6771434992097056,10.10626175148987
2,11,5935.1562,6010.136,-74.97975000000042,51.33147288129892,0.6535767406335414,5972.646215668202,-37.489784331798546,25.665713488687825
2,12,5927.4185,5907.74,19.67845703125022,51.33147288129892,0.6535767406335414,5917.579303815166,9.839303815166204,25.665713488687825
2,13,5902.77,5946.308,-43.53798046874999,51.33147288129892,0.6535767406335414,5924.538968835561,-21.769031164439184,25.665713488687825
3,14,6018.9766,6010.146,8.83056250000027,34.17275895610248,0.4752262633463612,6014.5612370841545,4.415237084154796,17.086359229701593
3,15,6087.188,6112.655,-25.467011718749745,34.17275895610248,0.4752262633463612,6099.921527885522,-12.73347211447799,17.086359229701593
3,16,6079.488,6132.183,-52.69520703124999,34.17275895610248,0.4752262633463612,6105.835412167719,-26.347587832280624,17.086359229701593
4,17,6085.3687,6052.686,32.682652343750306,19.340432755826505,0.09782921491001516,6069.027408856224,16.341408856224007,9.670272804604544
4,18,6125.919,6130.123,-4.2040546874995925,19.340432755826505,0.09782921491001516,6128.020917499701,-2.1020825002988204,9.670272804604544
4,19,5909.092,5915.119,-6.027203124999687,19.340432755826505,0.09782921491001516,5912.105342072815,-3.013657927184795,9.670272804604544
5,20,5628.7637,5480.726,148.03767187500034,96.93879063482458,0.4876568460202012,5554.74478644376,74.01878644376029,48.46936962245599
5,21,5602.5933,5679.715,-77.12173828125015,96.93879063482458,0.4876568460202012,5641.154149157336,-38.56085084266397,48.46936962245599
5,22,5527.992,5546.116,-18.123812499999985,96.93879063482458,0.4876568460202012,5537.054023919828,-9.061976080171917,48.46936962245599
6,23,5480.218,5344.086,136.13177343749976,159.66983638593777,1.4827629122764274,5412.151856799804,68.06585679980344,79.83486510946693
6,24,5516.6406,5480.157,36.48362499999985,159.66983638593777,1.4827629122764274,5498.398752198985,18.241752198984614,79.83486510946693
6,25,5290.7305,5528.681,-237.95053124999959,159.66983638593777,1.4827629122764274,5409.705814873185,-118.97518512681472,79.83486510946693
7,26,5474.9976,5376.473,98.52455859375004,103.42146723780984,1.0541975595567796,5425.735257111788,49.26225711178813,51.710672891403064
7,27,5402.0366,5252.932,149.1046210937502,103.42146723780984,1.0541975595567796,5327.484199727898,74.55219972789837,51.710672891403064
7,28,5199.967,5212.162,-12.195203125000262,103.42146723780984,1.0541975595567796,5206.064409276715,-6.097590723285066,51.710672891403064
8,29,5481.8984,5377.797,104.10143750000043,252.78337028229234,0.5675055231962001,5429.847832903067,52.0508329030672,126.39167164056086
8,30,5225.4062,5262.145,-36.73875000000044,252.78337028229234,0.5675055231962001,5243.775664899961,-18.36933510003928,126.39167164056086
8,31,5138.316,4714.628,423.6879179687503,252.78337028229234,0.5675055231962001,4926.471910231957,211.84391023195712,126.39167164056086
9,32,5539.437,5032.213,507.22401171875026,301.5264562128458,2.0583461244423322,5285.825097813979,253.61209781397883,150.7632755768945
9,33,5044.514,5078.871,-34.356839843750095,301.5264562128458,2.0583461244423322,5061.692516529311,-17.17848347068866,150.7632755768945
9,34,5030.9653,4911.391,119.57433203125038,301.5264562128458,2.0583461244423322,4971.17811680675,59.78711680675042,150.7632755768945
