country,model_type,data_type,rmse,mase,n_predictions
China,loco,actual,1012.9008492645872,3.276729824032005,9
China,single,actual,807.3569339003274,2.9089343873732125,9
Brazil,loco,actual,66.95399171000913,2.4993517581568296,9
Brazil,single,actual,68.62631243647485,2.428875230724476,9
Russia,loco,actual,45.76870478893146,0.7732087888092048,9
Russia,single,actual,180.91337489078649,3.463486929930429,9
India,loco,actual,241.85143728374592,1.423420594988088,9
India,single,actual,172.73577904009315,0.9695182108158025,9
Mexico,loco,actual,56.8538076713126,4.408301331061833,9
Mexico,single,actual,44.49910016814038,3.3958765078326887,9
Indonesia,loco,actual,164.6552947149961,3.128286968967514,9
Indonesia,single,actual,117.87863594586698,2.2429139102044373,9
Turkey,loco,actual,13.987057480225067,0.6301254200759804,9
Turkey,single,actual,28.12944566354961,1.0735919505790492,9
Saudi Arabia,loco,actual,213.8968372607733,5.168141444463992,9
Saudi Arabia,single,actual,69.14550693196082,1.5944198168566621,9
South Africa,loco,actual,56.72451073181838,2.666430110436031,9
South Africa,single,actual,35.02142574704421,1.556934264161404,9
Argentina,loco,actual,16.7667783152449,1.7645562374251926,9
Argentina,single,actual,13.6246857713354,1.328322906427338,9
